tpl_uuid,repo_url
99f76a74537b4ec79eea7b557500d06e,https://github.com/azadkuh/qhttp.git
c6249ffa085840fbba96efd8a1c2d5c6,https://github.com/azure-rtos/threadx.git
a9c243eee54c4914a3ad383e69c44652,https://github.com/Azure/azure-iot-sdk-c.git
b2ba5e833e9d4ea283b940819812809f,https://github.com/babelouest/ulfius.git
e2d0fcc4c5e54346a5eac56b2d8a8af9,https://github.com/balp/DevIL.git
1fadc1ae1deb4c37ab551f30e1a7fe4e,https://github.com/bbidulock/xdm.git
aea0735fc9544ed08ca14dc215a15c08,https://github.com/bblanchon/ArduinoJson.git
77e2bced869045f4890bcf539653754f,https://github.com/Beep6581/RawTherapee.git
7747aa09dbcf4db2b1f1afd2e02cd6cb,https://github.com/beltoforion/muparser.git
dc24d26c13e641f2993e5e1df7820ba7,https://github.com/benhoyt/inih.git
b0b79cd6844f4731a3991acf78775e79,https://github.com/bgrimstad/splinter.git
46eca8c376b74fb996d64eb24bb483b9,https://github.com/bilibili/ijkplayer.git
07bf1cf51fb4489f8929ac3c78c20a68,https://github.com/BinomialLLC/basis_universal.git
e40d7b08c97748f79d955d8fa034965a,https://github.com/bitcoin/bitcoin.git
1160e2bcf6c443c3ab57f53aa2f9ed18,https://github.com/bitrig/bitrig.git
ee1e554ba19c49ec94480dc6ced48281,https://github.com/BLAKE2/BLAKE2.git
4c7ebaa88a4b4f9eb807a4e7de47702a,https://github.com/blender/blender.git
daac85be1bb241daa9c1c2e689eea708,https://github.com/blitzpp/blitz.git
4e8a3b64ff2a4ba99f4cb84bd94c1709,https://github.com/Blosc/c-blosc.git
c5953812edc0442faa3f21e9e994534c,https://github.com/bminor/binutils-gdb.git
0361fc445174478cb6010b3d1e6bfbdd,https://github.com/bminor/newlib.git
fbe099806bdf4bf192729c4b53d683ad,https://github.com/Bodmer/TFT_eSPI.git
28368b3c477442659dbe611ca513bcef,https://github.com/bombela/backward-cpp.git
a7548772c21c4380a7853d7df9a1a306,https://github.com/boost-ext/di.git
90f8e3c0831f4aeab000d7fc7f3f24ae,https://github.com/boostorg/beast.git
96affc1892a1407f9440421019d47afc,https://github.com/boostorg/boost.git
e3a76434207b405599972f7529fc349f,https://github.com/boostorg/compute.git
52ebad25f7f042c5b438509c1867d924,https://github.com/boostorg/fiber.git
9c32481c2ee843b2832d34aeb01de85a,https://github.com/boostorg/geometry.git
0cfef0c1b26d4ff6a35f0487475babda,https://github.com/boostorg/hana.git
